an_entry_id,an_collector_person_id,clctr_name,is_couple
ACE668,ACPE668b,Philip E. Aarons,1
ACE670,ACPE670a,Caryl Englander,1
ACE670,ACPE670b,Israel Englander,1
ACE672,ACPE672a,Florence Guerlain,1
ACE672,ACPE672b,Daniel Guerlain,1
ACE673,ACPE673a,Barbara Haubrok,1
ACE673,ACPE673b,Axel Haubrok,1
ACE675,ACPE675a,Alison Klein,1
ACE675,ACPE675b,Peter W. Klein,1
ACE677,ACPE677a,Barbara Levine,1
ACE677,ACPE677b,Aaron Levine,1
ACE678,ACPE678a,Pamela Mohn,1
ACE678,ACPE678b,Jarl Mohn,1
ACE679,ACPE679a,Rose-Marie van Otterloo,1
ACE679,ACPE679b,Eijk van Otterloo,1
ACE680,ACPE680a,Heather Podesta,1
ACE680,ACPE680b,Tony Podesta,1
ACE682,ACPE682a,Christiane Schaufler-Münch,1
ACE682,ACPE682b,Peter Schaufler,1
ACE684,ACPE684a,Sylvia Ströher,1
ACE684,ACPE684b,Ulrich Ströher,1
ACE687,ACPE687a,Jane Toll,1
ACE687,ACPE687b,Robert Toll,1
ACE688,ACPE688a,Wang Wei,1
ACE688,ACPE688b,Liu Yiqian,1
ACE689,ACPE689a,Jutta Weishaupt,1
ACE689,ACPE689b,Siegfried Weishaupt,1
ACE693,ACPE693a,Robert Drake,1
ACE693,ACPE693b,Renee Drake,1
ACE696,ACPE696a,Steven Latner,1
ACE696,ACPE696b,Michael Latner,1
ACE697,ACPE697a,Maurice Marciano,1
ACE697,ACPE697b,Paul Marciano,1
ACE701,ACPE701a,Andrea Olympio Pereira,1
ACE701,ACPE701b,José Olympio Pereira,1
ACE703,ACPE703a,Vicki Sant,1
ACE703,ACPE703b,Roger Sant,1
ACE710,ACPE710a,Trudy Cejas,1
ACE710,ACPE710b,Paul Cejas,1
ACE712,ACPE712a,Isabel Coppel,1
ACE712,ACPE712b,Agustín Coppel,1
ACE714,ACPE714a,Mitzi Eisenberg,1
ACE714,ACPE714b,Warren Eisenberg,1
ACE715,ACPE715a,Rebecca Eisenberg,1
ACE715,ACPE715b,Martin Eisenberg,1
ACE717,ACPE717a,Susan Feinstein,1
ACE717,ACPE717b,Leonard Feinstein,1
ACE718,ACPE718a,Marilyn Fields,1
ACE718,ACPE718b,Larry Fields,1
ACE719,ACPE719a,Christy Gautreaux,1
ACE719,ACPE719b,Bill Gautreaux,1
ACE723,ACPE723a,Raymond J. McGuire,1
ACE723,ACPE723b,Crystal McCrary,1
ACE724,ACPE724a,Tom Pritzker,1
ACE724,ACPE724b,Margot Pritzker,1
ACE726,ACPE726a,Hilary Ross,1
ACE726,ACPE726b,Wilbur L. Ross Jr.,1
ACE729,ACPE729a,Elizabeth Singer,1
ACE729,ACPE729b,Frederick Singer,1
ACE730,ACPE730a,Susana Steinbruch,1
ACE730,ACPE730b,Ricardo Steinbruch,1
ACE734,ACPE734a,Anita Zabludowicz,1
ACE734,ACPE734b,Poju Zabludowicz,1
ACE735,ACPE735a,James Keith (JK) Brown,1
ACE735,ACPE735b,Eric Diefenbach,1
ACE739,ACPE739a,Yassmin Ghandehari,1
ACE739,ACPE739b,Sasan Ghandehari,1
ACE741,ACPE741a,Hong Ra-hee,1
ACE741,ACPE741b,Lee Kun-hee,1
ACE745,ACPE745a,Nina Moore,1
ACE745,ACPE745b,Frank Moore,1
ACE746,ACPE746a,Catriona Mordant,1
ACE746,ACPE746b,Simon Mordant,1
ACE747,ACPE747a,Genny Nissenbaum,1
ACE747,ACPE747b,Selmo Nissenbaum,1
ACE748,ACPE748a,Lisa Perry,1
ACE748,ACPE748b,Richard Perry,1
ACE749,ACPE749a,Sabine Plattner,1
ACE749,ACPE749b,Hasso Plattner,1
ACE752,ACPE752a,Linnea Conrad Roberts,1
ACE752,ACPE752b,George Roberts,1
ACE754,ACPE754a,Elham Salamé,1
ACE754,ACPE754b,Tony Salamé,1
ACE755,ACPE755a,Nadia Samdani,1
