clctr_name,clctr_name2,dist,ace_left,ace_right,is_same_APE,correct_name
Larry Marx,Larry Fink,4,ACE633,ACE817,0,""
Larry Marx,Barry Lam,4,ACE633,ACE822,0,""
Harry Hyams,Barry Lam,4,ACE317,ACE822,0,""
Yang Bin,Yan Du,4,ACE704,ACE860,0,""
Annibale Berlingieri,Marchese Annibale Berlingieri,,,,1,"Marchese Annibale Berlingieri"
Frances Bowes,Frances Garland Bowes,,,,1,"Frances Bowes"
Mary Griggs Burke,Mary Livingston Griggs Burke,,,,1,"Mary Griggs Burke"
Giorgio Franchetti,Baron Giorgio Franchetti,,,,1,"Giorgio Franchetti"
Peter Palumbo,Lord Peter Palumbo,,,,1,"Peter Palumbo"
Robert Tobin,Robert L. B. Tobin,,,,1,"Robert L. B. Tobin"
Charlotte Weber,Charlotte Colket Weber,,,,1,"Charlotte Colket Weber"
