an_entry_id,an_person_id,clctr_name,is_couple
ACE356,APE356a,Eleonore and Michael Stoffel,1
ACE356,APE356b,Eleonore and Michael Stoffel,1
ACE357,APE357a,Norah and Norman Stone,1
ACE357,APE357b,Norah and Norman Stone,1
ACE358,APE358a,Kenneth and Marilyn Thomson,1
ACE358,APE358b,Kenneth and Marilyn Thomson,1
ACE362,APE362a,Thomas and Cristina Bechtler,1
ACE362,APE362b,Thomas and Cristina Bechtler,1
ACE366,APE366a,Joseph Goldyne and Deborah Sperry Goldyne,1
ACE366,APE366b,Joseph Goldyne and Deborah Sperry Goldyne,1
ACE371,APE371a,Richard and Pamela Kramlich,1
ACE371,APE371b,Richard and Pamela Kramlich,1
ACE372,APE372a,Baroness Marion and Baron Philippe Lambert,1
ACE372,APE372b,Baroness Marion and Baron Philippe Lambert,1
ACE375,APE375a,George and Lee Ann Roberts,1
ACE375,APE375b,George and Lee Ann Roberts,1
ACE379,APE379a,Donna and Howard S. Stone,1
ACE379,APE379b,Donna and Howard S. Stone,1
ACE385,APE385a,Debra and Leon Black,1
ACE385,APE385b,Debra and Leon Black,1
ACE387,APE387a,David Bowie and Iman,1
ACE387,APE387b,David Bowie and Iman,1
ACE397,APE397a,"Bebe and R. Crosby Kemper, Jr.",1
ACE397,APE397b,"Bebe and R. Crosby Kemper, Jr.",1
ACE401,APE401a,Elisabeth and Rudolf Leopold,1
ACE401,APE401b,Elisabeth and Rudolf Leopold,1
ACE405,APE405a,Masula and Harry Mannil,1
ACE405,APE405b,Masula and Harry Mannil,1
ACE407,APE407a,Gabrielle and Werner Merzbacher,1
ACE407,APE407b,Gabrielle and Werner Merzbacher,1
ACE415,APE415a,Charles and Jayne Wrightsman,1
ACE415,APE415b,Charles and Jayne Wrightsman,1
ACE418,APE418a,Anette and Udo Brandhorst,1
ACE418,APE418b,Anette and Udo Brandhorst,1
ACE427,APE427a,Mimi and Peter Haas,1
ACE427,APE427b,Mimi and Peter Haas,1
ACE431,APE431a,Renata and Michal Hornstein,1
ACE431,APE431b,Renata and Michal Hornstein,1
ACE433,APE433a,Elsa and Theo Hotz,1
ACE433,APE433b,Elsa and Theo Hotz,1
ACE435,APE435a,Evelyn and Leonard Lauder,1
ACE435,APE435b,Evelyn and Leonard Lauder,1
ACE436,APE436a,Jo Carole and Ronald S. Lauder,1
ACE436,APE436b,Jo Carole and Ronald S. Lauder,1
ACE437,APE437a,Vicki and Kent Logan,1
ACE437,APE437b,Vicki and Kent Logan,1
ACE439,APE439a,Rachel and Paul Mellon,1
ACE439,APE439b,Rachel and Paul Mellon,1
ACE444,APE444a,Judy and Michael Ovitz,1
ACE444,APE444b,Judy and Michael Ovitz,1
ACE445,APE445a,Mary and John Pappajohn,1
ACE445,APE445b,Mary and John Pappajohn,1
ACE450,APE450a,Helen and Charles Schwab,1
ACE450,APE450b,Helen and Charles Schwab,1
ACE451,APE451a,Anna Marie and Robert Shapiro,1
ACE451,APE451b,Anna Marie and Robert Shapiro,1
ACE452,APE452a,Mary and Jon Shirley,1
ACE452,APE452b,Mary and Jon Shirley,1
ACE453,APE453a,Jerry I. Speyer and Katherine G. Farley,1
ACE453,APE453b,Jerry I. Speyer and Katherine G. Farley,1
ACE454,APE454a,Dorie and Paul Sternberg,1
ACE454,APE454b,Dorie and Paul Sternberg,1
ACE456,APE456a,Toby and Joey Tanenbaum,1
ACE456,APE456b,Toby and Joey Tanenbaum,1
ACE459,APE459a,Nora and Guy Barron,1
ACE459,APE459b,Nora and Guy Barron,1
ACE460,APE460a,Cristina and Thomas W. Bechtler-Lanfranconi,1
ACE460,APE460b,Cristina and Thomas W. Bechtler-Lanfranconi,1
ACE461,APE461a,Barbara and Donald L. Bryant Jr.,1
ACE461,APE461b,Barbara and Donald L. Bryant Jr.,1
ACE462,APE462a,Jane and David Davis,1
ACE462,APE462b,Jane and David Davis,1
ACE463,APE463a,Pamela and Barney A. Ebsworth,1
ACE463,APE463b,Pamela and Barney A. Ebsworth,1
ACE466,APE466a,Elizabeth and Richard Hedreen,1
ACE466,APE466b,Elizabeth and Richard Hedreen,1
ACE467,APE467a,Ronnie and Samuel Heyman,1
ACE467,APE467b,Ronnie and Samuel Heyman,1
ACE469,APE469a,Pamela and Richard Kramlich,1
ACE469,APE469b,Pamela and Richard Kramlich,1
ACE470,APE470a,Marie-Josée and Henry R. Kravis,1
ACE470,APE470b,Marie-Josée and Henry R. Kravis,1
ACE471,APE471a,Catie and Donald B. Marron,1
ACE471,APE471b,Catie and Donald B. Marron,1
ACE473,APE473a,Jacqueline and Philippe Nordmann,1
ACE473,APE473b,Jacqueline and Philippe Nordmann,1
ACE474,APE474a,Louise and Leonard Riggio,1
ACE474,APE474b,Louise and Leonard Riggio,1
ACE475,APE475a,Kathy and Keith Sachs,1
ACE475,APE475b,Kathy and Keith Sachs,1
ACE476,APE476a,Judy and Michael H. Steinhardt,1
ACE476,APE476b,Judy and Michael H. Steinhardt,1
ACE479,APE479a,Barbara and Ted Alfond,1
ACE479,APE479b,Barbara and Ted Alfond,1
ACE481,APE481a,Sylvie and Claude Berri,1
ACE481,APE481b,Sylvie and Claude Berri,1
ACE483,APE483a,Melinda and Bill Gates,1
ACE483,APE483b,Melinda and Bill Gates,1
ACE492,APE492a,Ellen and Michael Ringier,1
ACE492,APE492b,Ellen and Michael Ringier,1
ACE493,APE493a,Sharon and Jay Rockefeller,1
ACE493,APE493b,Sharon and Jay Rockefeller,1
ACE494,APE494a,Jeannette and Martijn Sanders,1
ACE494,APE494b,Jeannette and Martijn Sanders,1
ACE496,APE496a,Ruth and Richard Shack,1
ACE496,APE496b,Ruth and Richard Shack,1
ACE497,APE497a,Margaret and Terry Stent,1
ACE497,APE497b,Margaret and Terry Stent,1
ACE501,APE501a,Valerie and Charles Diker,1
ACE501,APE501b,Valerie and Charles Diker,1
ACE503,APE503a,Peter H. and Paula Lunder,1
ACE503,APE503b,Peter H. and Paula Lunder,1
ACE506,APE506a,Giovanna and Giuseppe Panza di Biumo,1
ACE506,APE506b,Giovanna and Giuseppe Panza di Biumo,1
ACE508,APE508a,Marieke and Pieter Sanders,1
ACE508,APE508b,Marieke and Pieter Sanders,1
ACE509,APE509a,Ute and Rudolf Scharpff,1
ACE509,APE509b,Ute and Rudolf Scharpff,1
ACE511,APE511a,B. Z. and Michael Schwartz,1
ACE511,APE511b,B. Z. and Michael Schwartz,1
ACE513,APE513a,Nancy and Philip Anschutz,1
ACE513,APE513b,Nancy and Philip Anschutz,1
ACE515,APE515a,Sandra and Gerald Fineberg,1
ACE515,APE515b,Sandra and Gerald Fineberg,1
ACE516,APE516a,Maxine and Stuart Frankel,1
