an_entry_id,an_collector_person_id,clctr_name,is_couple,an_person_id
ACE469,ACPE469b,Richard Kramlich,1,APE229
ACE470,ACPE470a,Marie-Josée Kravis,1,APE299
ACE470,ACPE470b,Henry R. Kravis,1,APE51
ACE471,ACPE471a,Catie Marron,1,APE301
ACE471,ACPE471b,Donald B. Marron,1,APE302
ACE473,ACPE473a,Jacqueline Nordmann,1,APE303
ACE473,ACPE473b,Philippe Nordmann,1,APE304
ACE474,ACPE474a,Louise Riggio,1,APE305
ACE474,ACPE474b,Leonard Riggio,1,APE306
ACE475,ACPE475a,Kathy Sachs,1,APE307
ACE475,ACPE475b,Keith Sachs,1,APE308
ACE476,ACPE476a,Judy Steinhardt,1,APE309
ACE476,ACPE476b,Michael H. Steinhardt,1,APE310
ACE479,ACPE479a,Barbara Alfond,1,APE311
ACE479,ACPE479b,Ted Alfond,1,APE312
ACE481,ACPE481a,Sylvie Berri,1,APE313
ACE481,ACPE481b,Claude Berri,1,APE314
ACE483,ACPE483a,Melinda Gates,1,APE315
ACE483,ACPE483b,Bill Gates,1,APE316
ACE492,ACPE492a,Ellen Ringier,1,APE317
ACE492,ACPE492b,Michael Ringier,1,APE318
ACE493,ACPE493a,Sharon Rockefeller,1,APE319
ACE493,ACPE493b,Jay Rockefeller,1,APE320
ACE494,ACPE494a,Jeannette Sanders,1,APE321
ACE494,ACPE494b,Martijn Sanders,1,APE322
ACE496,ACPE496a,Ruth Shack,1,APE323
ACE496,ACPE496b,Richard Shack,1,APE324
ACE497,ACPE497a,Margaret Stent,1,APE325
ACE497,ACPE497b,Terry Stent,1,APE326
ACE501,ACPE501a,Valerie Diker,1,APE327
ACE501,ACPE501b,Charles Diker,1,APE328
ACE503,ACPE503a,Peter H. Lunder,1,APE329
ACE503,ACPE503b,Paula Lunder,1,APE330
ACE506,ACPE506a,Giovanna Panza di Biumo,1,APE331
ACE506,ACPE506b,Giuseppe Panza di Biumo,1,APE332
ACE508,ACPE508a,Marieke Sanders,1,APE333
ACE508,ACPE508b,Pieter Sanders,1,APE214
ACE509,ACPE509a,Ute Scharpff,1,APE335
ACE509,ACPE509b,Rudolf Scharpff,1,APE336
ACE511,ACPE511a,B. Z. Schwartz,1,APE337
ACE511,ACPE511b,Michael Schwartz,1,APE338
ACE513,ACPE513a,Nancy Anschutz,1,APE339
ACE513,ACPE513b,Philip Anschutz,1,APE340
ACE515,ACPE515a,Sandra Fineberg,1,APE341
ACE515,ACPE515b,Gerald Fineberg,1,APE342
ACE516,ACPE516a,Maxine Frankel,1,APE343
ACE516,ACPE516b,Stuart Frankel,1,APE344
ACE519,ACPE519a,Janine Hill,1,APE345
ACE519,ACPE519b,J. Tomilson Hill,1,APE346
ACE521,ACPE521a,Anne Marion,1,APE347
ACE521,ACPE521b,John Marion,1,APE348
ACE523,ACPE523a,Cindy Rachofsky,1,APE349
ACE523,ACPE523b,Howard Rachofsky,1,APE350
ACE525,ACPE525a,Tsuneo Sudo,1,APE351
ACE525,ACPE525b,Eiichiro Sudo,1,APE352
ACE527,ACPE527a,Ruth True,1,APE353
ACE527,ACPE527b,William True,1,APE354
ACE530,ACPE530a,Anette Brandhorst,1,APE251
ACE530,ACPE530b,Udo Brandhorst,1,APE252
ACE531,ACPE531a,Melva Bucksbaum,1,APE357
ACE531,ACPE531b,Raymond Learsy,1,APE358
ACE535,ACPE535a,Danielle Ganek,1,APE359
ACE535,ACPE535b,David Ganek,1,APE360
ACE537,ACPE537a,Susan Hort,1,APE361
ACE537,ACPE537b,Michael Hort,1,APE362
ACE539,ACPE539a,Jeanne Klein,1,APE363
ACE539,ACPE539b,Michael L. Klein,1,APE364
ACE540,ACPE540a,Sarah-Ann Kramarsky,1,APE365
ACE540,ACPE540b,Werner H. Kramarsky,1,APE366
ACE541,ACPE541a,Jill Kraus,1,APE367
ACE541,ACPE541b,Peter Kraus,1,APE368
ACE543,ACPE543a,Sherry Mallin,1,APE369
ACE543,ACPE543b,Joel Mallin,1,APE370
ACE544,ACPE544a,Carol Rahr,1,APE371
ACE544,ACPE544b,Stewart Rahr,1,APE372
ACE548,ACPE548a,Abigail Wexner,1,APE373
ACE548,ACPE548b,Leslie H. Wexner,1,APE374
ACE550,ACPE550a,Kenneth C. Griffin,1,APE375
ACE550,ACPE550b,Anne Dias-Griffin,1,APE376
ACE552,ACPE552a,Anne Fisher,1,APE377
ACE552,ACPE552b,Jerome Fisher,1,APE378
ACE555,ACPE555a,Ninah Lynne,1,APE379
ACE555,ACPE555b,Michael Lynne,1,APE380
ACE556,ACPE556a,Susan Magnier,1,APE381
ACE556,ACPE556b,John Magnier,1,APE382
ACE558,ACPE558a,Elizabeth Plotnick,1,APE383
ACE558,ACPE558b,Harvey Plotnick,1,APE384
ACE563,ACPE563a,Leonora Belilty,1,APE385
ACE563,ACPE563b,Jimmy Belilty,1,APE386
ACE565,ACPE565a,Monique Burger,1,APE387
ACE565,ACPE565b,Max Burger,1,APE388
ACE566,ACPE566a,Cherryl Cohen,1,APE389
ACE566,ACPE566b,Frank Cohen,1,APE390
ACE569,ACPE569a,Kathleen Fuld,1,APE391
ACE569,ACPE569b,Richard S. Fuld Jr.,1,APE392
ACE570,ACPE570a,Ann Gund,1,APE393
ACE570,ACPE570b,Graham Gund,1,APE394
ACE571,ACPE571a,Margrit Hahnloser,1,APE395
ACE571,ACPE571b,Paul Hahnloser,1,APE396
ACE572,ACPE572a,Adam Lindemann,1,APE397
ACE572,ACPE572b,Amalia Dayan,1,APE398
ACE573,ACPE573a,Margaret Munzer Loeb,1,APE399
ACE573,ACPE573b,Daniel S. Loeb,1,APE400
ACE574,ACPE574a,Frances G. McGlothlin,1,APE401
ACE574,ACPE574b,James W. McGlothlin,1,APE402
ACE576,ACPE576a,Julie Minskoff,1,APE403
ACE576,ACPE576b,Edward J. Minskoff,1,APE404
ACE578,ACPE578a,Marsha Perelman,1,APE405
ACE578,ACPE578b,Jeffrey Perelman,1,APE406
ACE579,ACPE579a,Miuccia Prada,1,APE407
ACE579,ACPE579b,Patrizio Bertelli,1,APE408
ACE580,ACPE580a,Lisa Pritzker,1,APE409
ACE580,ACPE580b,John A. Pritzker,1,APE410
ACE586,ACPE586a,Lauren Taschen,1,APE411
ACE586,ACPE586b,Benedikt Taschen,1,APE412
ACE588,ACPE588a,Elaine Wynn,1,APE413
ACE588,ACPE588b,Stephen A. Wynn,1,APE414
ACE589,ACPE589a,Hélène Arnault,1,APE415
ACE589,ACPE589b,Bernard Arnault,1,APE416
ACE590,ACPE590a,Maria Arena Bell,1,APE417
ACE590,ACPE590b,William Bell Jr.,1,APE418
ACE591,ACPE591a,Karen Boros,1,APE419
ACE591,ACPE591b,Christian Boros,1,APE420
ACE593,ACPE593a,Peggy Burnet,1,APE421
ACE593,ACPE593b,Ralph Burnet,1,APE422
ACE597,ACPE597a,Agnes Essl,1,APE423
ACE597,ACPE597b,Karlheinz Essl,1,APE424
ACE598,ACPE598a,Geraldine Gottesman,1,APE425
ACE598,ACPE598b,Noam Gottesman,1,APE426
ACE599,ACPE599a,Mania Hahnloser,1,APE427
ACE599,ACPE599b,Bernhard Hahnloser,1,APE428
ACE600,ACPE600a,Christine Hall,1,APE429
ACE600,ACPE600b,Andrew Hall,1,APE430
ACE602,ACPE602a,Cindy Horn,1,APE431
ACE602,ACPE602b,Alan Horn,1,APE432
ACE604,ACPE604a,Anneliese Lenz,1,APE433
ACE604,ACPE604b,Gerhard Lenz,1,APE434
ACE605,ACPE605a,Jane Manoogian,1,APE435
ACE605,ACPE605b,Richard Manoogian,1,APE436
ACE607,ACPE607a,Lisa Tananbaum,1,APE437
ACE607,ACPE607b,Steve Tananbaum,1,APE438
ACE611,ACPE611a,Eileen Cohen,1,APE439
ACE611,ACPE611b,Michael Cohen,1,APE440
ACE613,ACPE613a,Nathalie de Gunzburg,1,APE441
ACE613,ACPE613b,Charles de Gunzburg,1,APE442
ACE614,ACPE614a,Deedie Rose,1,APE443
ACE614,ACPE614b,Rusty Rose,1,APE444
ACE616,ACPE616a,Dana Tananbaum,1,APE445
ACE616,ACPE616b,Jim Tananbaum,1,APE446
ACE617,ACPE617a,Roman Abramovich,1,APE447
ACE617,ACPE617b,Dasha Zhukova,1,APE448
ACE619,ACPE619a,Robert H. Chaney,1,APE449
ACE619,ACPE619b,Jereann H. Chaney,1,APE450
ACE619,ACPE619c,Holland Chaney,1,APE451
ACE620,ACPE620a,Frank J. Fertitta III,1,APE452
ACE620,ACPE620b,Lorenzo Fertitta,1,APE453
ACE621,ACPE621a,Diane Halle,1,APE454
ACE621,ACPE621b,Bruce Halle,1,APE455
ACE623,ACPE623a,Mimi Libeert,1,APE456
ACE623,ACPE623b,Filiep Libeert,1,APE457
ACE626,ACPE626a,Lynda Resnick,1,APE458
ACE626,ACPE626b,Stewart Resnick,1,APE459
ACE627,ACPE627a,Myriam Ullens,1,APE460
ACE627,ACPE627b,Guy Ullens,1,APE461
ACE628,ACPE628a,Maria Baibakova,1,APE462
ACE628,ACPE628b,Oleg Baybakov,1,APE463
ACE629,ACPE629a,Marijke Cordia,1,APE464
ACE629,ACPE629b,Willem Cordia,1,APE465
ACE631,ACPE631a,Ingrid Jung,1,APE466
ACE631,ACPE631b,Hugo Jung,1,APE467
ACE632,ACPE632a,Nancy Magoon,1,APE468
ACE632,ACPE632b,Robert Magoon,1,APE469
ACE633,ACPE633a,Susan Marx,1,APE470
ACE633,ACPE633b,Larry Marx,1,APE471
ACE635,ACPE635a,Amy Phelan,1,APE472
ACE635,ACPE635b,John Phelan,1,APE473
ACE636,ACPE636a,Penny Pritzker,1,APE474
ACE636,ACPE636b,Bryan Traubert,1,APE475
ACE637,ACPE637a,Lenore Sender,1,APE476
ACE637,ACPE637b,Adam Sender,1,APE477
ACE640,ACPE640a,Iris Strauss,1,APE478
ACE640,ACPE640b,Matthew Strauss,1,APE479
ACE641,ACPE641a,Robbi Toll,1,APE480
ACE641,ACPE641b,Bruce E. Toll,1,APE481
ACE643,ACPE643a,Laura Arnold,1,APE482
ACE643,ACPE643b,John Arnold,1,APE483
ACE644,ACPE644a,Cees de Bruin-Heijn,1,APE484
ACE644,ACPE644b,Inge de Bruin-Heijn,1,APE485
ACE645,ACPE645a,Alexandra Cohen,1,APE486
ACE645,ACPE645b,Steven A. Cohen,1,APE487
ACE648,ACPE648a,Amanda Fuhrman,1,APE488
ACE648,ACPE648b,Glenn R. Fuhrman,1,APE489
ACE650,ACPE650a,Catherine Lagrange,1,APE490
ACE650,ACPE650b,Pierre Lagrange,1,APE491
ACE651,ACPE651a,Paula Lunder,1,APE330
ACE651,ACPE651b,Peter H. Lunder,1,APE329
ACE653,ACPE653a,Emily Rales,1,APE494
ACE653,ACPE653b,Mitchell Rales,1,APE495
ACE656,ACPE656a,Barbara Vogelstein,1,APE496
ACE656,ACPE656b,John Vogelstein,1,APE497
ACE659,ACPE659a,Bettina Bryant,1,APE498
ACE659,ACPE659b,Donald L. Bryant Jr.,1,APE288
ACE663,ACPE663a,Suna Kiraç,1,APE500
ACE663,ACPE663b,Inan Kiraç,1,APE501
ACE664,ACPE664a,Liz Lefkofsky,1,APE502
ACE664,ACPE664b,Eric Lefkofsky,1,APE503
