muci_id,id_af,name_muci,name_af
muci_101,2553,,
muci_102,21243,,
muci_106,2474,,
muci_107,2371,,
muci_112,1807,,
muci_119,1807,,
muci_124,2534,,
muci_126,30531,,
muci_130,3821,,
muci_131,11346,,
muci_132,3822,,
muci_134,nomatch,,
muci_135,18693,,
muci_136,50883,,
muci_137,12082,,
muci_139,16344,,
muci_14,15217,,
muci_141,4258,,
muci_142,nomatch,,
muci_143,2616,,
muci_145,18752,,
muci_146,30149,,
muci_149,10815,,
muci_15,14394,,
muci_150,nomatch,,
muci_151,2457,,
muci_152,2228,,
muci_153,2227,,
muci_154,2229,,
muci_160,3790,,
muci_161,2416,,
muci_162,14039,,
muci_163,9615,,
muci_166,10649,,
muci_167,15491,,
muci_168,21797,,
muci_17,35730,,
muci_170,nomatch,,
muci_171,2360,,
muci_175,45115,,
muci_178,1293,,
muci_180,2340,,
muci_181,2204,,
muci_183,10360,,
muci_184,2379,,
muci_185,5367,,
muci_187,26826,,
muci_190,18757,,
muci_192,nomatch,,
muci_193,nomatch,,
muci_194,30530,,
muci_198,3727,,
muci_20,nomatch,,
muci_200,nomatch,,
muci_201,46134,,
muci_202,nomatch,,
muci_203,nomatch,,
muci_205,37578,,
muci_208,10790,,
muci_209,2420,,
muci_210,nomatch,,
muci_214,2202,,
muci_216,9323,,
muci_22,20585,,
muci_220,16479,,
muci_221,nomatch,,
muci_224,2477,,
muci_226,nomatch,,
muci_227,nomatch,,
muci_23,nomatch,,
muci_231,nomatch,,
muci_232,53651,,
muci_234,31704,,
muci_236,2077,,
muci_238,10304,,
muci_24,1813,,
muci_241,nomatch,,
muci_243,2599,,
muci_244,2684,,
muci_245,nomatch,,
muci_246,2395,,
muci_247,15645,,
muci_248,8980,,
muci_254,55248,,
muci_26,2676,,
muci_276,2254,,
muci_277,28612,,
muci_281,nomatch,,
muci_282,2411,,
muci_285,2468,,
muci_291,nomatch,,
muci_295,1811,,
muci_298,2449,,
muci_30,18166,,
muci_305,2352,,
muci_307,2546,,
muci_31,3807,,
muci_311,2721,,
muci_315,2685,,
muci_320,nomatch,,
muci_324,2392,,
muci_327,22680,,
muci_329,nomatch,,
muci_330,nomatch,,
muci_331,nomatch,,
muci_342,4692,High Museum of Art,The High Museum of Art
muci_349,9297,Inhotim,Inhotim Centro de Arte Contemporânea
muci_35,2194,Musées Royaux des Beaux-Arts,Royal Museums of Fine Arts of Belgium
muci_351,2201,Museo de Bellas Artes,Museo Nacional de Bellas Artes (MNBA)
muci_368,21541,Centre Pompidou Metz,Centre Pompidou-Metz
muci_37,10367,Museum of Fine Arts,Museum of Fine Arts Budapest
muci_377,21856,Galleria Borghese,Museo e Galleria Borghese
muci_381,5559,MASP,Museu de Arte de São Paulo Assis Chateaubriand (MASP)
muci_391,19793,City Museum and Art Gallery,Bristol Museum & Art Gallery
muci_393,3835,Fitzwilliam Museum,The Fitzwilliam Museum
muci_394,2369,Museum of Contemporary Art,Museum of Contemporary Art Chicago (MCA)
muci_40,2370,Art Institute of Chicago,The Art Institute of Chicago
muci_404,3671,Indianapolis Museum of Art,Indianapolis Museum of Art (IMA)
muci_406,2310,Whitechapel Gallery,Whitechapel Art Gallery
muci_409,33957,Museo Nazionale della Scienza,Museo Nazionale della Scienza e della Tecnologia Leonardo Da Vinci
muci_41,3799,Christchurch Art Gallery Te Puna o Waiwhet≈´,Christchurch Art Gallery
muci_414,8587,Museum of Modern Art,"Moscow museum of modern art - MMOMA, Petrovka"
muci_414,37494,Museum of Modern Art,"Moscow museum of modern art - MMOMA, Ermolaevsky"
muci_414,37505,Museum of Modern Art,"Moscow museum of modern art - MMOMA, Tverskoy"
muci_417,20177,Pinacothèque,Pinacotheque de Paris
muci_42,5445,Cleveland Museum of Art,The Cleveland Museum of Art
muci_426,2421,Gemeentemuseum,Kunstmuseum Den Haag
muci_428,2392,Institut Valéncia d’Art Modern,Institut Valencià d'Art Modern (IVAM)
muci_43,3115,National Gallery of Denmark,Statens museum for kunst - SMK
muci_437,2357,Musée Rodin,Musée Rodin Paris
muci_451,21556,Micheal C. Carlos Museum,Michael C. Carlos Museum of Emory University
muci_452,4969,Baltimore Museum of Art,The Baltimore Museum of Art
muci_453,12766,Walters Art Museum,The Walters Art Museum
muci_458,2096,Hamburger Bahnhof,Hamburger Bahnhof - Museum für Gegenwart
muci_471,2928,Villa Olmo,"Centro di Cultura Scientifica """"Alessandro Volta"""" - Villa Olmo"
muci_483,2469,Modern Art Museum of Fort Worth,The Modern Art Museum of Fort Worth
muci_483,19677,Modern Art Museum of Fort Worth,Fort Worth Contemporary Arts
muci_485,2296,Museum für Moderne Kunst,Museum für Moderne Kunst (MMK)
muci_486,2410,BALTIC,BALTIC Centre for Contemporary Art
muci_486,33730,BALTIC,Baltic 39
muci_496,4972,Kemper Museum,Kemper Museum of Contemporary Art
muci_500,12172,Royal College of Art,Royal College of Art Galleries
muci_504,2713,Courtauld Institute Gallery,Courtauld Gallery
muci_504,54973,Courtauld Institute Gallery,The Courtauld Gallery
muci_505,1234,P.S.1 Contemporary Art Center,MoMA PS1
muci_510,23408,Palazzo Te,Centro Internazionale d'Arte e di Cultura di Palazzo Te
muci_513,2467,Milwaukee Art Museum,Milwaukee Art Museum (MAM)
muci_517,2217,Brooklyn Museum,Brooklyn Museum of Art
